shift_angstrom,target_lr_es_kj_mol,predicted_lr_es_kj_mol,error_lr_es_kj_mol,target_lr_pol_kj_mol,predicted_lr_pol_kj_mol,error_lr_pol_kj_mol,target_sr_es_total_kj_mol,predicted_sr_es_total_kj_mol,error_sr_es_total_kj_mol,target_sr_pol_total_kj_mol,predicted_sr_pol_total_kj_mol,error_sr_pol_total_kj_mol,target_exchange_kj_mol,predicted_exchange_kj_mol,error_exchange_kj_mol,target_dispersion_total_kj_mol,predicted_dispersion_total_kj_mol,error_dispersion_total_kj_mol,target_ct_like_kj_mol,predicted_ct_like_kj_mol,error_ct_like_kj_mol
-2.76250000,-2.72071457,-2.25806427,0.46265030,-1.29507184,-20.78678894,-19.49171710,-13.71647835,-0.35380232,13.36267602,0.30068183,-25.63367081,-25.93435264,52.48719332,9.45870209,-43.02849123,-26.67244244,-487.25128174,-460.57883930,-3.07269892,-3.59315681,-0.52045789
-2.55000000,-2.30773902,-2.06684875,0.24089026,-0.81323725,-16.73461342,-15.92137617,-5.87843156,-0.30048031,5.57795125,0.23941076,-14.71617603,-14.95558679,25.86644381,6.10590219,-19.76054162,-18.81371450,-341.77752686,-322.96381235,-1.42251979,-3.25541735,-1.83289755
-2.12500000,-1.70688558,-1.68360138,0.02328420,-0.38407144,-11.24613953,-10.86206809,-0.40526772,-0.20925587,0.19601184,0.18477164,-5.30580711,-5.49057876,6.07322040,2.53567100,-3.53754940,-9.63844299,-179.81289673,-170.17445374,-0.30388033,-2.66468048,-2.36080015
-1.70000000,-1.30306780,-1.34615707,-0.04308927,-0.20999861,-7.86399269,-7.65399408,0.66274220,-0.14175463,-0.80449682,0.13246071,-2.09408426,-2.22654498,1.37806688,1.05198026,-0.32608662,-5.16472673,-101.42758179,-96.26285505,-0.06867308,-2.17532206,-2.10664898
-1.27500000,-1.01847041,-1.06966782,-0.05119741,-0.12418677,-5.67883301,-5.55464624,0.75493008,-0.09461211,-0.84954219,0.08883069,-0.88341254,-0.97224323,0.30492003,0.43722704,0.13230701,-2.91128446,-60.38468170,-57.47339724,-0.01781533,-1.77297747,-1.75516214
-0.85000000,-0.80983543,-0.85025406,-0.04041862,-0.07694628,-4.21176100,-4.13481472,0.65903777,-0.06266397,-0.72170174,0.05827993,-0.39215401,-0.45043394,0.06625015,0.18234804,0.11609789,-1.72714987,-37.55205917,-35.82490931,-0.00568563,-1.44396901,-1.43828339
-0.21250000,-0.58795804,-0.60741520,-0.01945716,-0.03978926,-2.80323958,-2.76345033,0.49582236,-0.03359227,-0.52941462,0.03124389,-0.12481069,-0.15605458,0.00658245,0.04951896,0.04293651,-0.85988721,-19.68067360,-18.82078639,-0.00154752,-1.06141484,-1.05986732
0.42500000,-0.43627608,-0.44024658,-0.00397050,-0.02170460,-1.94282162,-1.92111702,0.37142204,-0.01801020,-0.38943224,0.01730273,-0.04253811,-0.05984084,0.00063463,0.01359196,0.01295733,-0.46581401,-11.00738525,-10.54157124,-0.00057879,-0.78159696,-0.78101817
1.06250000,-0.32951015,-0.32433605,0.00517410,-0.01237493,-1.39165652,-1.37928159,0.28111726,-0.00969460,-0.29081186,0.00992882,-0.01530394,-0.02523276,0.00005576,0.00376967,0.00371391,-0.26951547,-6.49227381,-6.22275834,-0.00025049,-0.57741559,-0.57716510
-1.10000000,-17.05353355,-15.97410393,1.07942963,-11.21842766,-30.56226730,-19.34383965,-37.40202522,-3.50622988,33.89579535,11.75429350,-98.33215332,-110.08644682,172.24403767,14.78141689,-157.46262078,-48.65573883,-1049.90270996,-1001.24697113,-20.12779779,-4.09430313,16.03349466
-0.85000000,-13.65248966,-12.77742386,0.87506580,-5.84207296,-23.28416443,-17.44209146,-11.94273090,-2.57550693,9.36722398,5.43638745,-43.25437164,-48.69075909,81.82536336,9.02139378,-72.80396958,-32.29891777,-620.26623535,-587.96731758,-8.79628199,-3.65541434,5.14086765
-0.60000000,-10.96013260,-10.27456284,0.68556976,-3.29377985,-18.09916496,-14.80538511,-0.78192139,-1.89375949,-1.11183810,2.76788718,-20.64855766,-23.41644484,38.19120132,5.51147366,-32.67972766,-21.75876141,-389.61755371,-367.85879230,-3.77753787,-3.26024055,0.51729731
-0.35000000,-8.83767986,-8.30663109,0.53104877,-1.96159136,-14.31003189,-12.34844053,3.54071426,-1.39403594,-4.93475020,1.52107120,-10.60232544,-12.12339664,17.63567229,3.38448477,-14.25118752,-14.86539984,-257.08929443,-242.22389460,-1.61226460,-2.90526509,-1.29300049
-0.10000000,-7.16283989,-6.75196075,0.41087914,-1.21690679,-11.47985935,-10.26295257,4.81014132,-1.02724349,-5.83738482,0.89426333,-5.79345942,-6.68772274,8.10544762,2.09483624,-6.01061138,-10.30305582,-176.38827515,-166.08521932,-0.69091668,-2.58705521,-1.89613852
0.40000000,-4.78501272,-4.53518486,0.24982786,-0.51317239,-7.66055202,-7.14737964,4.35801339,-0.55956686,-4.91758025,0.36311114,-1.99045527,-2.35356641,1.72250273,0.82542735,-0.89707538,-5.17912030,-90.52056122,-85.34144092,-0.13431410,-2.04797101,-1.91365692
0.90000000,-3.27465820,-3.11592293,0.15873528,-0.23764758,-5.31735802,-5.07971044,3.23008176,-0.30642974,-3.53651151,0.17103893,-0.76960242,-0.94064134,0.37569264,0.33642361,-0.03926903,-2.76892623,-50.38326645,-47.61434022,-0.02984556,-1.61894047,-1.58909492
1.40000000,-2.29819226,-2.19021225,0.10798001,-0.11857811,-3.81032753,-3.69174942,2.32031379,-0.16896981,-2.48928360,0.08805923,-0.31690216,-0.40496139,0.08403893,0.14002207,0.05598314,-1.56794193,-29.69315147,-28.12520954,-0.00785032,-1.27913165,-1.27128133
1.90000000,-1.65318286,-1.57391739,0.07926548,-0.06298719,-2.80377293,-2.74078573,1.67784641,-0.09392063,-1.77176704,0.04798616,-0.13541606,-0.18340222,0.01894035,0.05870360,0.03976325,-0.93373360,-18.29097557,-17.35724197,-0.00245130,-1.01094520,-1.00849390
2.65000000,-1.05216885,-0.99609947,0.05606937,-0.02688623,-1.84428799,-1.81740176,1.06391102,-0.03952840,-1.10343942,0.02086762,-0.03976088,-0.06062850,0.00195958,0.01583889,0.01387931,-0.46449998,-9.45515251,-8.99065253,-0.00057627,-0.71179783,-0.71122156
3.40000000,-0.69965309,-0.65660667,0.04304641,-0.01263118,-1.26380157,-1.25117039,0.70123784,-0.01692536,-0.71816320,0.00980799,-0.01229423,-0.02210222,0.00018570,0.00419287,0.00400717,-0.24972118,-5.22160959,-4.97188841,-0.00018465,-0.50333655,-0.50315190
