batch_index,shift_angstrom,lr_es_kj_mol,lr_pol_kj_mol,lr_disp_kj_mol,sr_es_total_kj_mol,sr_pol_total_kj_mol,exchange_kj_mol,sr_disp_kj_mol,ct_like_kj_mol,dispersion_total_kj_mol,target_total_espol_kj_mol,total_nonbonded_kj_mol,weights
6,1.9000000000,-1.6531828642,-0.0629871935,-0.8632031679,1.6778464094,0.0479861572,0.0189403500,-0.0705304369,-0.0024512981,-0.9337336048,0.0096625090,-2.6237521521,1.0000000000
6,2.6500000000,-1.0521688461,-0.0268862341,-0.4307517707,1.0639110208,0.0208676155,0.0019595800,-0.0337482095,-0.0005762710,-0.4644999802,0.0057235560,-1.5364481661,1.0000000000
6,3.4000000000,-0.6996530890,-0.0126311816,-0.2319037914,0.7012378353,0.0098079934,0.0001857000,-0.0178173911,-0.0001846484,-0.2497211825,-0.0012384419,-0.9632428099,1.0000000000
6,4.1500000000,-0.4825545251,-0.0064108726,-0.1326732785,0.4786066883,0.0049280151,0.0000157700,-0.0102156848,-0.0000763251,-0.1428889632,-0.0054306943,-0.6373455860,1.0000000000
7,-1.1000000000,2.6550488472,-3.6770310402,-156.9888153076,-92.1008725166,-0.1200075150,269.7146199200,97.8214416504,-18.0059861572,-59.1673736572,-93.2428622246,98.2764372240,1.0000000000
7,-0.8625000000,-0.3438712955,-1.9842298031,-79.6313476562,-46.4887703061,0.1483263969,142.0564746800,39.4785614014,-9.5506453491,-40.1527862549,-48.6685450077,41.3563895211,1.0000000000
7,-0.6250000000,-1.6963874102,-1.2200958729,-43.5329704285,-21.9296921492,0.3067556024,72.9206990700,16.0036640167,-4.8746237842,-27.5293064117,-24.5394198298,13.0608633397,1.0000000000
7,-0.3875000000,-2.1724133492,-0.8022157550,-25.3946857452,-9.3106942177,0.3326326609,36.5559355600,6.3667135239,-2.3850801032,-19.0279722214,-11.9526906610,0.2155657323,1.0000000000
7,-0.1500000000,-2.2142727375,-0.5465983152,-15.6730127335,-3.1257612705,0.3029761165,17.9395633000,2.4186031818,-1.1258852622,-13.2544095516,-5.5836562067,-4.7852589318,1.0000000000
7,0.3250000000,-1.8309003115,-0.2700893879,-6.8254747391,0.9574252963,0.2106596753,4.0951316900,0.2126802504,-0.2337711594,-6.6127944887,-0.9329047278,-5.7853283962,1.0000000000
7,0.8000000000,-1.3570885658,-0.1417762488,-3.3836596012,1.4517644495,0.1316910386,0.8845187900,-0.0692764595,-0.0471730411,-3.4529360607,0.0845906734,-4.0298646433,1.0000000000
7,1.2750000000,-0.9717805982,-0.0782827809,-1.8347744942,1.2307535112,0.0791543094,0.1839029600,-0.0663094297,-0.0098657888,-1.9010839239,0.2598444414,-2.5172657841,1.0000000000
7,1.7500000000,-0.6899694800,-0.0451916941,-1.0627936125,0.9431071281,0.0474310089,0.0371591400,-0.0418446399,-0.0022585601,-1.1046382524,0.2553769629,-1.5495217120,1.0000000000
7,2.4625000000,-0.4152139127,-0.0213041212,-0.5145096183,0.6138202399,0.0227511707,0.0032507200,-0.0217621922,-0.0002946336,-0.5362718105,0.2000533766,-0.7697803744,1.0000000000
7,3.1750000000,-0.2542974949,-0.0108053181,-0.2716596723,0.4046998173,0.0115060060,0.0002647200,-0.0130768316,-0.0000404694,-0.2847365038,0.1511030103,-0.3985120689,1.0000000000
7,3.8875000000,-0.1588627249,-0.0058239913,-0.1534988731,0.2731347010,0.0061281924,0.0000187800,-0.0085448036,0.0000013355,-0.1620436767,0.1145761772,-0.2121341251,1.0000000000
8,-3.8000000000,-2.5997076035,-8.9071779251,-120.9878616333,-77.5394220352,13.2810955048,229.5628655200,68.3315734863,-19.1137173472,-52.6562881470,-75.7652120590,70.5207583186,1.0000000000
8,-3.5833330000,-2.5105986595,-5.6669316292,-69.3744659424,-43.4816269875,8.3249754906,136.2446737100,31.2167854309,-11.2034792259,-38.1576805115,-43.3341817856,35.3718090419,1.0000000000
8,-3.3666670000,-2.3412919044,-3.7093625069,-41.6896171570,-22.9428362846,5.2264162302,78.4205898800,13.9990358353,-6.2222043498,-27.6905813217,-23.7670744658,14.6900730463,1.0000000000
